"","...1","artist","title","album","year"
"1",1,"The Beach Boys","Somewhere Near Japan","Still Cruisin'","1990"
"2",2,"The Beach Boys","Kokomo","Still Cruisin'","1990"
"3",3,"The Beach Boys","Problem Child","Problem Child (soundtrack)","1990"
"4",4,"The Beach Boys","Crocodile Rock","Two Rooms: Celebrating the Songs of Elton John & Bernie Taupin","1991"
"5",5,"The Beach Boys","California Dreamin'","California Gold: The Very Best of The Beach Boys","1991"
"6",6,"The Beach Boys","Hot Fun in the Summertime","Summer in Paradise","1992"
"7",7,"The Beach Boys","Tears in the Morning","Summer in Paradise","1992"
"8",8,"The Beach Boys","Forever Forever Forever","Summer in Paradise","1992"
"9",9,"The Beach Boys","Under the Boardwalk","Summer in Paradise","1992"
"10",10,"The Beach Boys","Summer in Paradise","Summer in Paradise","1993"
"11",11,"The Beach Boys","Summer in Paradise I'm Always Here)","Summer in Paradise","1993"
"12",12,"The Beach Boys","I Just Wasn't Made for These Times","Pet Sounds","1996"
"13",13,"The Beach Boys","Wouldn't It Be Nice , Here Today","Pet Sounds","1996"
"14",14,"The Beach Boys","I Can Hear Music Little Deuce Coupe","Stars and Stripes Vol. 1","1996"
"15",15,"The Beach Boys","Help Me, Rhonda","Stars and Stripes Vol. 1","1996"
"16",16,"The Beach Boys","Don't Worry Baby","Stars and Stripes Vol. 1","1996"
"17",17,"The Beach Boys","Long Tall Texan","Stars and Stripes Vol. 1","1996"
"18",18,"The Beach Boys","Little Deuce Coupe","Stars and Stripes Vol. 1","1996"
"19",19,"The Beach Boys","Don't Fight the Sea Friends","A Postcard from California","2011"
"20",20,"The Beach Boys","Cabin Essence","The Smile Sessions","2011"
"21",21,"The Beach Boys","Wonderful","The Smile Sessions","2011"
"22",22,"The Beach Boys","Vega-Tables","The Smile Sessions","2011"
"23",23,"The Beach Boys","Surf's Up","The Smile Sessions","2011"
"24",24,"The Beach Boys","That's Why God Made the Radio","That's Why God Made the Radio","2012"
"25",25,"The Beach Boys","Isn't It Time","That's Why God Made the Radio","2012"
"26",26,"Joni Mitchell","Night in the City","Song to a Seagull","1968"
"27",27,"Joni Mitchell","Chelsea Morning","Clouds","1969"
"28",28,"Joni Mitchell","Big Yellow Taxi","Ladies of the Canyon","1970"
"29",29,"Joni Mitchell","Carey","Blue","1971"
"30",30,"Joni Mitchell","California","Blue","1971"
"31",31,"Joni Mitchell","You Turn Me On, I'm a Radio","For the Roses","1972"
"32",32,"Joni Mitchell","Cold Blue Steel and Sweet Fire","For the Roses","1973"
"33",33,"Joni Mitchell","Raised on Robbery","Court and Spark","1973"
"34",34,"Joni Mitchell","Help Me","Court and Spark","1974"
"35",35,"Joni Mitchell","Free Man in Paris","Court and Spark","1974"
"36",36,"Joni Mitchell","In France They Kiss on Main Street","The Hissing of Summer Lawns","1976"
"37",37,"Joni Mitchell","Coyote","Hejira","1977"
"38",38,"Joni Mitchell","Off Night Backstreet","Don Juan's Reckless Daughter","1978"
"39",39,"Joni Mitchell","Jericho","Don Juan's Reckless Daughter","1978"
"40",40,"Joni Mitchell","The Dry Cleaner from Des Moines","Mingus","1979"
"41",41,"Joni Mitchell","Baby I Don't Care","Wild Things Run Fast","1982"
"42",42,"Joni Mitchell","Chinese Café","Wild Things Run Fast","1983"
"43",43,"Joni Mitchell","Underneath The Streetlight","Wild Things Run Fast","1983"
"44",44,"Joni Mitchell","Good Friends","Dog Eat Dog","1985"
"45",45,"Joni Mitchell","Shiny Toys","Dog Eat Dog","1986"
"46",46,"Joni Mitchell","My Secret Place","Chalk Mark in a Rain Storm","1988"
"47",47,"Joni Mitchell","Snakes and Ladders","Chalk Mark in a Rain Storm","1988"
"48",48,"Joni Mitchell","Cool Water","Chalk Mark in a Rain Storm","1988"
"49",49,"Joni Mitchell","Night Ride Home","Night Ride Home","1991"
"50",50,"Joni Mitchell","Come in from the Cold","Night Ride Home","1991"
"51",51,"Joni Mitchell","How Do You Stop","Turbulent Indigo","1994"
"52",52,"Joni Mitchell","Sex Kills","Turbulent Indigo","1994"
"53",53,"Joni Mitchell","Sunny Sunday","Turbulent Indigo","1994"
"54",54,"Joni Mitchell","Both Sides, Now","Both Sides Now","2000"
"55",55,"The Beatles","My Bonnie",NA,"1962"
"56",56,"The Beatles","The Saints",NA,"1962"
"57",57,"The Beatles","Please Please Me",NA,"1963"
"58",58,"The Beatles","Ask Me Why",NA,"1963"
"59",59,"The Beatles","From Me to You",NA,"1963"
"60",60,"The Beatles","Thank You Girl",NA,"1963"
"61",61,"The Beatles","I'll Get You",NA,"1963"
"62",62,"The Beatles","I Want to Hold Your Hand",NA,"1963"
"63",63,"The Beatles","This Boy",NA,"1963"
"64",64,"The Beatles","Roll Over Beethoven",NA,"1963"
"65",65,"The Beatles","Please Mister Postman",NA,"1963"
"66",66,"The Beatles","Misery",NA,"1963"
"67",67,"The Beatles","Ask Me WhyEuropean single",NA,"1963"
"68",68,"The Beatles","I Saw Her Standing There",NA,"1963"
"69",69,"The Beatles","Sweet Georgia Brown",NA,"1964"
"70",70,"The Beatles","Nobody's Child",NA,"1964"
"71",71,"The Beatles","All My Loving",NA,"1964"
"72",72,"The Beatles","WhyCry for a Shadow",NA,"1964"
"73",73,"The Beatles","Twist and Shout",NA,"1964"
"74",74,"The Beatles","There's a Place",NA,"1964"
"75",75,"The Beatles","Komm, gib mir deine HandSie liebt dichGerman single on Odeon",NA,"1964"
"76",76,"The Beatles","You Can't Do That",NA,"1964"
"77",77,"The Beatles","Do You Want to Know a Secret",NA,"1964"
"78",78,"The Beatles","Sie liebt dich",NA,"1964"
"79",79,"The Beatles","Ain't She Sweet",NA,"1964"
"80",80,"The Beatles","Take Out Some Insurance on Me, Baby",NA,"1964"
"81",81,"The Beatles","A Hard Day's Night",NA,"1964"
"82",82,"The Beatles","Things We Said Today",NA,"1964"
"83",83,"The Beatles","I Should Have Known Better",NA,"1964"
"84",84,"The Beatles","I'll Cry Instead",NA,"1964"
"85",85,"The Beatles","I'm Happy Just to Dance with You",NA,"1964"
"86",86,"The Beatles","If I Fell",NA,"1964"
"87",87,"The Beatles","Matchbox",NA,"1964"
"88",88,"The Beatles","Slow Down",NA,"1964"
"89",89,"The Beatles","I Feel Fine",NA,"1964"
"90",90,"The Beatles","She's a Woman",NA,"1964"
"91",91,"The Beatles","Tell Me Why",NA,"1964"
"92",92,"The Beatles","Eight Days a Week",NA,"1965"
"93",93,"The Beatles","I Don't Want to Spoil the Party",NA,"1965"
"94",94,"The Beatles","Ticket to Ride",NA,"1965"
"95",95,"The Beatles","Yes It Is",NA,"1965"
"96",96,"The Beatles","Rock and Roll Music",NA,"1965"
"97",97,"The Beatles","I'm a LoserEuropean single",NA,"1965"
"98",98,"The Beatles","No Reply",NA,"1965"
"99",99,"The Beatles","Rock and Roll MusicEuropean single",NA,"1965"
"100",100,"The Beatles","Help!",NA,"1965"
"101",101,"The Beatles","I'm Down",NA,"1965"
"102",102,"The Beatles","Yesterday",NA,"1965"
"103",103,"The Beatles","Act Naturally",NA,"1965"
"104",104,"The Beatles","I'll Follow the Sun",NA,"1965"
"105",105,"The Beatles","I Don't Want to Spoil the PartyEuropean single",NA,"1965"
"106",106,"The Beatles","Boys",NA,"1965"
"107",107,"The Beatles","Kansas City/Hey, Hey, Hey, Hey",NA,"1965"
"108",108,"The Beatles","We Can Work It Out",NA,"1965"
"109",109,"The Beatles","Day Tripper",NA,"1965"
"110",110,"The Beatles","Michelle",NA,"1966"
"111",111,"The Beatles","GirlEuropean single",NA,"1966"
"112",112,"The Beatles","Nowhere Man",NA,"1966"
"113",113,"The Beatles","What Goes On",NA,"1966"
"114",114,"The Beatles","Paperback Writer",NA,"1966"
"115",115,"The Beatles","Rain",NA,"1966"
"116",116,"The Beatles","Yellow Submarine",NA,"1966"
