"","artist","title","album","year"
"1","Marvin Gaye","Let Your Conscience Be Your Guide","The Soulful Moodsof Marvin Gaye","1961"
"2","Marvin Gaye","Sandman","Greatest Hits","1962"
"3","Marvin Gaye","Soldier's Plea","That StubbornKinda Fellow","1962"
"4","Marvin Gaye","Stubborn Kind of Fellow","That StubbornKinda Fellow","1962"
"5","Marvin Gaye","Hitch Hike","That StubbornKinda Fellow","1962"
"6","Marvin Gaye","Pride and Joy","That StubbornKinda Fellow","1963"
"7","Marvin Gaye","Can I Get a Witness","Greatest Hits","1963"
"8","Marvin Gaye","You're a Wonderful One","How Sweet It Is to Be Loved by You","1964"
"9","Marvin Gaye","Once Upon a Time","Together","1964"
"10","Marvin Gaye","What's the Matter with You Baby","Together","1964"
"11","Marvin Gaye","Try It Baby","How Sweet It Isto Be Loved by You","1964"
"12","Marvin Gaye","Baby Don't You Do It","How Sweet It Isto Be Loved by You","1964"
"13","Marvin Gaye","What Good Am I Without You","Take Two","1964"
"14","Marvin Gaye","How Sweet It Is","How Sweet It Isto Be Loved by You","1964"
"15","Marvin Gaye","I'll Be Doggone","Moods of Marvin Gaye","1965"
"16","Marvin Gaye","Pretty Little Baby","Greatest Hits, Vol. 2","1965"
"17","Marvin Gaye","Ain't That Peculiar","Moods of Marvin Gaye","1965"
"18","Marvin Gaye","One More Heartache","Moods of Marvin Gaye","1966"
"19","Marvin Gaye","Take This Heart of Mine","Moods of Marvin Gaye","1966"
"20","Marvin Gaye","Little Darling","Moods of Marvin Gaye","1966"
"21","Marvin Gaye","It Takes Two","Take Two","1966"
"22","Marvin Gaye","Ain't No Mountain High Enough","United","1967"
"23","Marvin Gaye","Your Unchanging Love","Moods of Marvin Gaye","1967"
"24","Marvin Gaye","Your Precio","United","1967"
"25","Marvin Gaye","If I Could Build My Whole World Around You","United","1967"
"26","Marvin Gaye","You","In the Groove","1967"
"27","Marvin Gaye","Ain't Nothing Like the Real Thing","You're All I Need","1968"
"28","Marvin Gaye","You're All I Need to Get By","You're All I Need","1968"
"29","Marvin Gaye","Chained","In the Groove","1968"
"30","Marvin Gaye","Keep On Lovin' Me Honey","You're All I Need","1968"
"31","Marvin Gaye","His Eye Is on the Sparrow","In Loving Memory","1968"
"32","Marvin Gaye","I Heard It Through the Grapevine","In the Groove","1968"
"33","Marvin Gaye","Good Lovin' Ain't Easy to Come By","Easy","1969"
"34","Marvin Gaye","Too Busy Thinking About My Baby","M.P.G.","1969"
"35","Marvin Gaye","That's the Way Love Is","M.P.G. / That's the Way Love Is","1969"
"36","Marvin Gaye","What You Gave Me","Easy","1969"
